gene,pathway,mutation
RPL11,SYNGO:presyn_ribosome,G32A
RPL11,SYNGO:postsyn_ribosome,G32A
RPL11,GOCC_CYTOSOLIC_RIBOSOME,G32A
RPL11,GOCC_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT,G32A
RPL11,WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS,G32A
RPL11,KEGG_MEDICUS_REFERENCE_TRANSLATION_INITIATION,G32A
RPL11,REACTOME_EUKARYOTIC_TRANSLATION_INITIATION,G32A
RPL11,REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,G32A
RPS12,SYNGO:presyn_ribosome,G32A
RPS12,SYNGO:postsyn_ribosome,G32A
RPS12,GOCC_CYTOSOLIC_RIBOSOME,G32A
RPS12,GOCC_CYTOSOLIC_SMALL_RIBOSOMAL_SUBUNIT,G32A
RPS12,WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS,G32A
RPS12,KEGG_MEDICUS_REFERENCE_TRANSLATION_INITIATION,G32A
RPS12,REACTOME_EUKARYOTIC_TRANSLATION_INITIATION,G32A
RPS12,REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,G32A
RPS29,GOCC_CYTOSOLIC_RIBOSOME,G32A
RPS29,GOCC_CYTOSOLIC_SMALL_RIBOSOMAL_SUBUNIT,G32A
RPS29,WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS,G32A
RPS29,KEGG_MEDICUS_REFERENCE_TRANSLATION_INITIATION,G32A
RPS29,REACTOME_EUKARYOTIC_TRANSLATION_INITIATION,G32A
RPS29,REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,G32A
ANKS1B,GO:0099523,G32A
ANKS1B,GO:0014069,G32A
RPL13,SYNGO:presyn_ribosome,G32A
RPL13,SYNGO:postsyn_ribosome,G32A
RPL13,GOCC_CYTOSOLIC_RIBOSOME,G32A
RPL13,GOCC_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT,G32A
RPL13,WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS,G32A
RPL13,KEGG_MEDICUS_REFERENCE_TRANSLATION_INITIATION,G32A
RPL13,REACTOME_EUKARYOTIC_TRANSLATION_INITIATION,G32A
RPL13,REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,G32A
DROSHA,GO:0014069,G32A
DROSHA,GOBP_RIBOSOME_BIOGENESIS,G32A
FBXO45,GO:0099523,G32A
FBXO45,GO:0099524,G32A
RPL26,SYNGO:presyn_ribosome,G32A
RPL26,SYNGO:postsyn_ribosome,G32A
RPL26,GOCC_CYTOSOLIC_RIBOSOME,G32A
RPL26,GOCC_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT,G32A
RPL26,WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS,G32A
RPL26,KEGG_MEDICUS_REFERENCE_TRANSLATION_INITIATION,G32A
RPL26,REACTOME_EUKARYOTIC_TRANSLATION_INITIATION,G32A
RPL26,REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,G32A
RPL18,SYNGO:presyn_ribosome,G32A
RPL18,SYNGO:postsyn_ribosome,G32A
RPL18,GOCC_CYTOSOLIC_RIBOSOME,G32A
RPL18,GOCC_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT,G32A
RPL18,WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS,G32A
RPL18,KEGG_MEDICUS_REFERENCE_TRANSLATION_INITIATION,G32A
RPL18,REACTOME_EUKARYOTIC_TRANSLATION_INITIATION,G32A
RPL18,REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,G32A
RPL32,SYNGO:presyn_ribosome,G32A
RPL32,SYNGO:postsyn_ribosome,G32A
