gene,pathway,mutation
RPS5,SYNGO:presyn_ribosome,G32A
RPL6,GO:0014069,G32A
RPL38,GO:0014069,G32A
RPL30,GO:0014069,G32A
RPS14,GO:0014069,G32A
RPS3,GO:0014069,G32A
RPL5,GO:0014069,G32A
RPS19,GO:0014069,G32A
RPL8,GO:0014069,G32A
RPL7,GO:0014069,G32A
RPL23,GO:0014069,G32A
RPL4,GO:0014069,G32A
RPL18A,GO:0014069,G32A
RPL10A,GO:0014069,G32A
RPS27,GO:0014069,G32A
RPL12,GO:0014069,G32A
RPL7L1,GOCC_CYTOSOLIC_RIBOSOME,G32A
RPS5,GOCC_CYTOSOLIC_RIBOSOME,G32A
RPLP1,GOCC_CYTOSOLIC_RIBOSOME,G32A
RPL7L1,GOCC_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT,G32A
RPLP1,GOCC_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT,G32A
RPS23,GOCC_CYTOSOLIC_SMALL_RIBOSOMAL_SUBUNIT,G32A
RPS5,GOCC_CYTOSOLIC_SMALL_RIBOSOMAL_SUBUNIT,G32A
RPS5,WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS,G32A
RPLP1,WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS,G32A
RPS5,REACTOME_EUKARYOTIC_TRANSLATION_INITIATION,G32A
RPLP1,REACTOME_EUKARYOTIC_TRANSLATION_INITIATION,G32A
RPS5,REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,G32A
RPLP1,REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,G32A
RPL11,GOBP_RIBOSOME_BIOGENESIS,G32A
RPL26,GOBP_RIBOSOME_BIOGENESIS,G32A
RPL35A,GOBP_RIBOSOME_BIOGENESIS,G32A
RPL6,GOBP_RIBOSOME_BIOGENESIS,G32A
RPL3,GOBP_RIBOSOME_BIOGENESIS,G32A
RPL38,GOBP_RIBOSOME_BIOGENESIS,G32A
RPS7,GOBP_RIBOSOME_BIOGENESIS,G32A
RPS16,GOBP_RIBOSOME_BIOGENESIS,G32A
RPL10,GOBP_RIBOSOME_BIOGENESIS,G32A
RPS28,GOBP_RIBOSOME_BIOGENESIS,G32A
RPS14,GOBP_RIBOSOME_BIOGENESIS,G32A
RPL24,GOBP_RIBOSOME_BIOGENESIS,G32A
RPL5,GOBP_RIBOSOME_BIOGENESIS,G32A
RPS19,GOBP_RIBOSOME_BIOGENESIS,G32A
RPL7,GOBP_RIBOSOME_BIOGENESIS,G32A
RPL10A,GOBP_RIBOSOME_BIOGENESIS,G32A
RPL27,GOBP_RIBOSOME_BIOGENESIS,G32A
RPS5,GOBP_RIBOSOME_BIOGENESIS,G32A
RPS27,GOBP_RIBOSOME_BIOGENESIS,G32A
RPS8,GOBP_RIBOSOME_BIOGENESIS,G32A
RPS6,GOBP_RIBOSOME_BIOGENESIS,G32A
