gene,pathway,mutation
RPSA,SYNGO:postsyn_ribosome,R403C
RPL6,GO:0014069,R403C
RPL38,GO:0014069,R403C
RPL30,GO:0014069,R403C
RPL14,GO:0014069,R403C
RPS14,GO:0014069,R403C
RPS3,GO:0014069,R403C
RPL5,GO:0014069,R403C
RPS19,GO:0014069,R403C
RPL8,GO:0014069,R403C
RPL7,GO:0014069,R403C
RPL23,GO:0014069,R403C
RPL4,GO:0014069,R403C
RPL10A,GO:0014069,R403C
RPS27,GO:0014069,R403C
RPL12,GO:0014069,R403C
RPSA,GOCC_CYTOSOLIC_RIBOSOME,R403C
RPL7L1,GOCC_CYTOSOLIC_RIBOSOME,R403C
RPL14,GOCC_CYTOSOLIC_RIBOSOME,R403C
RPL7L1,GOCC_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT,R403C
RPSA,GOCC_CYTOSOLIC_SMALL_RIBOSOMAL_SUBUNIT,R403C
UBA52,GOCC_CYTOSOLIC_SMALL_RIBOSOMAL_SUBUNIT,R403C
RPSA,WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS,R403C
RPL14,WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS,R403C
RPSA,REACTOME_EUKARYOTIC_TRANSLATION_INITIATION,R403C
RPSA,REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,R403C
RPL11,GOBP_RIBOSOME_BIOGENESIS,R403C
RPL26,GOBP_RIBOSOME_BIOGENESIS,R403C
RPL35A,GOBP_RIBOSOME_BIOGENESIS,R403C
RPL6,GOBP_RIBOSOME_BIOGENESIS,R403C
RPL3,GOBP_RIBOSOME_BIOGENESIS,R403C
RPL38,GOBP_RIBOSOME_BIOGENESIS,R403C
RPS7,GOBP_RIBOSOME_BIOGENESIS,R403C
RPS16,GOBP_RIBOSOME_BIOGENESIS,R403C
RPS28,GOBP_RIBOSOME_BIOGENESIS,R403C
RPL14,GOBP_RIBOSOME_BIOGENESIS,R403C
RPS14,GOBP_RIBOSOME_BIOGENESIS,R403C
RPL24,GOBP_RIBOSOME_BIOGENESIS,R403C
RPL5,GOBP_RIBOSOME_BIOGENESIS,R403C
RPS19,GOBP_RIBOSOME_BIOGENESIS,R403C
RPL7,GOBP_RIBOSOME_BIOGENESIS,R403C
RPL10A,GOBP_RIBOSOME_BIOGENESIS,R403C
RPL27,GOBP_RIBOSOME_BIOGENESIS,R403C
RPS27,GOBP_RIBOSOME_BIOGENESIS,R403C
RPS8,GOBP_RIBOSOME_BIOGENESIS,R403C
RPS6,GOBP_RIBOSOME_BIOGENESIS,R403C
