id,display_name,group,nes_d35,nes_d65,padj_d35,padj_d65,core_genes,n_genes,mutation
SYNGO:presyn_ribosome,Presyn. Ribosome,SynGO synaptic-localized,2.33010062177469,-2.49238759914907,8.15976316300135e-06,7.15296944216768e-07,"['RPL23', 'RPL6', 'RPS14', 'RPL5', 'RPL24', 'RPL13A', 'RPL35A', 'RPL9', 'RPL4', 'RPL27', 'RPS27', 'RPS28', 'RPL12', 'RPL37A', 'RPL29', 'RPL34', 'RPL11', 'RPL27A', 'RPL26', 'RPS16', 'RPS15A', 'RPL36', 'RPL15', 'RPL13', 'RPS6', 'RPS12', 'RPL22', 'RPL18', 'RPS27A', 'RPL7', 'RPL8', 'RPL32', 'RPS11', 'RPL38', 'RPL28', 'RPLP2', 'RPL10A', 'RPL37', 'RPL10']",39,G32A
SYNGO:postsyn_ribosome,Postsyn. Ribosome,SynGO synaptic-localized,2.45817534242279,-2.48502109703243,3.40438886521169e-07,7.15296944216768e-07,"['RPL23', 'RPL6', 'RPL31', 'RPS14', 'RPL5', 'RPL24', 'RPS19', 'RPL13A', 'RPL35A', 'RPL9', 'RPL4', 'RPL27', 'RPS7', 'RPS27', 'RPS8', 'RPS28', 'RPL12', 'RPL37A', 'RPL29', 'RPS3', 'RPL34', 'RPL11', 'RPL30', 'RPL27A', 'RPL26', 'RPS16', 'RPS15A', 'RPL21', 'RPL36', 'RPL15', 'RPL13', 'RPS6', 'RPS12', 'RPL22', 'RPS20', 'RPL18', 'RPS27A', 'RPL7', 'RPL8', 'RPL32', 'RPS11', 'RPL38', 'RPL28', 'RPLP2', 'RPL10A', 'RPL37', 'RPS23', 'RPL10', 'RPS5', 'RPLP1']",50,G32A
GO:0099523,Presyn. Cytosol,SynGO synaptic-localized,-1.3761223366945,-0.746733763119302,0.289941949597781,0.996276496715338,"['SH3GL2', 'MARCKS', 'PRKCE', 'SENP6', 'HTT', 'ANKS1B', 'SYT1', 'PPT1', 'SUMO2', 'SNCB', 'SUMO3', 'PRKCB', 'STXBP5', 'SENP1', 'CTBP2', 'TRIM9', 'FBXO45', 'SUMO1', 'CALM3', 'RAPH1', 'CALM1', 'RABEP1', 'ERC1', 'HNRNPAB', 'FUS', 'UBE2I', 'NCS1', 'MARCKSL1']",28,G32A
GO:0099524,Postsyn. Cytosol,SynGO synaptic-localized,-1.41219347003015,-0.920587009038421,0.289941949597781,0.996276496715338,"['SENP1', 'MTOR', 'PIN1', 'EIF4E', 'PLCB3', 'FBXO45', 'SUMO1', 'CALM3', 'HNRNPA2B1', 'CALM1', 'FUS', 'DBN1', 'UBE2I', 'NCS1', 'FABP5']",15,G32A
GO:0014069,Postsyn. Density,SynGO synaptic-localized,-1.16500612752097,-1.36772736384263,0.470366115805876,0.202428944499379,"['EIF4G2', 'GPSM2', 'ANKS1B', 'CAMK2B', 'SYT1', 'MAP1A', 'ARRB2', 'TSC1', 'SHANK3', 'HSPA8', 'RAPGEF4', 'EIF3A', 'PPP1R9B', 'NEGR1', 'ALS2', 'ANK3', 'ARRB1', 'AURKA', 'SRGAP2', 'DPYSL2', 'PCBP1', 'DROSHA', 'HOMER3', 'SHANK1', 'PRICKLE1', 'RPS6KC1', 'RBMX', 'FRMPD4', 'DTNBP1', 'KPNA2', 'PAK2', 'HNRNPA2B1', 'TANC2', 'HNRNPA3', 'ROCK2', 'TACC3', 'DBN1', 'HNRNPM', 'HNRNPH1', 'DGKZ', 'KALRN', 'DGCR8', 'HNRNPD', 'SYNCRIP', 'DLG5', 'PIP5K1C', 'VHL', 'SPOCK1', 'DYNLL2', 'CAMK1']",50,G32A
GO:0045211,Postsyn. Membrane,SynGO synaptic-localized,-1.19373981895481,-1.22159667486951,0.485135035690632,0.704820440776188,"['HIP1', 'DBN1', 'NRGN']",3,G32A
GOCC_CYTOSOLIC_RIBOSOME,GO:CC Cytosolic Ribosome,Broader cytoplasmic ribosome / translation,1.58952880835394,-2.42770666970211,0.0137746204499192,2.80034862757144e-07,"['RPL23', 'EEF1A1', 'RPL6', 'RPL31', 'RPS14', 'RPL5', 'RPL24', 'RPS19', 'RPL13A', 'RPL35A', 'RPL9', 'RPL3', 'RPL4', 'RPS4X', 'RPL27', 'RPS7', 'RPS27', 'RPS8', 'RPS28', 'RPL12', 'RPL37A', 'RPL29', 'RPS3', 'RPL34', 'RPL11', 'RPL30', 'RPL27A', 'RPL26', 'RPS16', 'RPS15A', 'RPS29', 'RPL21', 'RPL36', 'RPL15', 'RPL13', 'RPS6', 'RPS12', 'RPL39', 'RPL22', 'RPS20', 'RPL18', 'RPS27A', 'RPL7', 'RPL8', 'RPL32', 'RPS11', 'RACK1', 'RPL19', 'RPL38', 'FAU', 'RPL28', 'RPLP2', 'RPL10A', 'RPL37', 'RPL18A', 'RPS23', 'RPL10']",57,G32A
GOCC_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT,GO:CC Cyto. Large Subunit,Broader cytoplasmic ribosome / translation,1.94906753640143,-2.45043575786474,0.0009950380358565,8.93258464836198e-06,"['RPL23', 'RPL6', 'RPL31', 'RPL5', 'RPL24', 'RPL13A', 'RPL35A', 'RPL9', 'RPL3', 'RPL4', 'RPL27', 'RPL12', 'RPL37A', 'RPL29', 'RPL34', 'RPL11', 'RPL30', 'RPL27A', 'RPL26', 'RPL21', 'RPL36', 'RPL15', 'RPL13', 'RPL39', 'RPL22', 'RPL18', 'RPL7', 'RPL8', 'RPL32', 'RPL19', 'RPL38', 'RPL28', 'RPLP2', 'RPL10A', 'RPL37', 'RPL18A', 'RPL10']",37,G32A
GOCC_CYTOSOLIC_SMALL_RIBOSOMAL_SUBUNIT,GO:CC Cyto. Small Subunit,Broader cytoplasmic ribosome / translation,1.35118328543455,-1.91731174664146,0.168804020279527,0.0708042550308286,"['RPS14', 'RPS19', 'RPS4X', 'RPS7', 'RPS27', 'RPS8', 'RPS28', 'RPS3', 'RPS16', 'RPS15A', 'RPS29', 'RPS6', 'RPS12', 'RPS20', 'RPS27A', 'RPS11', 'RACK1', 'FAU']",18,G32A
WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS,WP Cyto. Ribosomal Proteins,Broader cytoplasmic ribosome / translation,2.27526427933074,-2.46321290751121,5.05156446724355e-06,3.91642664060038e-06,"['RPL23', 'RPL6', 'RPL31', 'RPS14', 'RPL5', 'RPL24', 'RPS19', 'RPL13A', 'RPL35A', 'RPL9', 'RPL3', 'RPL4', 'RPS4X', 'RPL27', 'RPS7', 'RPS27', 'RPS8', 'RPS28', 'RPL12', 'RPL37A', 'RPL29', 'RPS3', 'RPL34', 'RPL11', 'RPL30', 'RPL27A', 'RPL26', 'RPS16', 'RPS15A', 'RPS29', 'RPL21', 'RPL36', 'RPL15', 'RPL13', 'RPS6', 'RPS12', 'RPL39', 'RPL22', 'RPS20', 'RPL18', 'RPS27A', 'RPL7', 'RPL8', 'RPL32', 'RPS11', 'RPL19', 'RPL38', 'FAU', 'RPL28', 'RPLP2', 'RPL10A', 'RPL37', 'RPL18A', 'RPS23', 'RPL10']",55,G32A
