id,display_name,group,nes_d35,nes_d65,padj_d35,padj_d65,core_genes,n_genes,mutation
SYNGO:presyn_ribosome,Presyn. Ribosome,SynGO synaptic-localized,2.23316446947385,-2.47747347246333,1.95932092651441e-05,1.06409290964336e-06,"['RPL23', 'RPS14', 'RPS12', 'RPL6', 'RPL12', 'RPS28', 'RPL27A', 'RPS27', 'RPL26', 'RPL35A', 'RPL11', 'RPL5', 'RPS16', 'RPL36', 'RPL24', 'RPL27', 'RPL13A', 'RPL37A', 'RPL9', 'RPL34', 'RPL8', 'RPS6', 'RPL38', 'RPL4', 'RPL28', 'RPL22', 'RPL7', 'RPS27A', 'RPLP2', 'RPL32', 'RPS15A', 'RPL17', 'UBA52', 'RPL10A', 'RPL15', 'RPL18', 'RPL29', 'RPL13', 'RPL14']",39,R403C
SYNGO:postsyn_ribosome,Postsyn. Ribosome,SynGO synaptic-localized,2.29162769302504,-2.58145672878091,3.98412474852232e-06,9.35750721546656e-09,"['RPL23', 'RPLP1', 'RPS14', 'RPL31', 'RPS12', 'RPL6', 'RPL12', 'RPS28', 'RPL27A', 'RPS27', 'RPL26', 'RPL35A', 'RPL11', 'RPL5', 'RPL30', 'RPS16', 'RPL36', 'RPS20', 'RPL24', 'RPS8', 'RPL27', 'RPL13A', 'RPL37A', 'RPL9', 'RPL34', 'RPL8', 'RPS3', 'RPS6', 'RPL38', 'RPL4', 'RPL28', 'RPL22', 'RPS7', 'RPL7', 'RPS27A', 'RPL21', 'RPLP2', 'RPS19', 'RPL32', 'RPS15A', 'RPL17', 'UBA52', 'RPL10A', 'RPL15', 'RPL18', 'RPL29', 'RPL13', 'RPL14']",48,R403C
GO:0099523,Presyn. Cytosol,SynGO synaptic-localized,-1.87762876232169,0.826630001847297,0.0016655552121793,0.919571252201251,"['SUMO1', 'HTT', 'SNCB', 'TNK2', 'SH3GL2', 'PPFIA2', 'MARCKS', 'SUMO2', 'CTBP2', 'STXBP1', 'GDI1', 'HNRNPAB', 'RAPH1', 'SYT1', 'STXBP5', 'FUS', 'UBE2I', 'ANKS1B', 'FBXO45', 'ERC1', 'CALM1', 'PRKCB', 'CALM3', 'TRIM9', 'RABEP1', 'NCS1', 'MARCKSL1']",27,R403C
GO:0099524,Postsyn. Cytosol,SynGO synaptic-localized,-1.58711201843653,0.804498083133849,0.0338737848661809,0.919571252201251,"['SENP6', 'RIMS3', 'RGS4', 'MTOR', 'PLCB1', 'SUMO1', 'HTT', 'PTEN', 'TNK2', 'PLCB3', 'PIN1', 'SUMO2', 'VAMP2', 'HNRNPA2B1', 'EIF4E', 'SYT1', 'KIF5A', 'FUS', 'UBE2I', 'FBXO45', 'KIF5C', 'DBN1', 'CALM1', 'CALM3', 'FABP5', 'NCS1']",26,R403C
GO:0014069,Postsyn. Density,SynGO synaptic-localized,-1.66966566846555,-1.21207702775613,0.0016655552121793,0.331218466468894,"['INPP4A', 'HNRNPA2B1', 'ARHGAP33', 'GPSM2', 'NEURL1', 'HNRNPH1', 'APBB1', 'HNRNPM', 'TACC3', 'SHANK2', 'PAK1', 'ROCK2', 'RAPGEF4', 'ARRB1', 'SRGAP2', 'ARRB2', 'GSK3B', 'FRMPD4', 'KPNA1', 'MAGI2', 'SYT1', 'CAMK2B', 'HNRNPA3', 'DGKZ', 'SYNCRIP', 'ANKS1B', 'CD200', 'RBMX', 'DGCR8', 'HNRNPD', 'PPP1R9B', 'NEGR1', 'MAP1A', 'DBN1', 'ADGRA1', 'PAK2', 'PIP5K1C', 'DPYSL2', 'TANC2', 'CAMK1', 'ANK3', 'DYNLL2', 'SPOCK1', 'VHL', 'DLG5', 'KALRN']",46,R403C
GO:0045211,Postsyn. Membrane,SynGO synaptic-localized,-1.42863926694451,-0.996760352827126,0.131233651692771,0.762004237209103,"['RGS7', 'GNB5', 'SNAP91', 'HIP1', 'GNAO1', 'SYT1', 'DBN1', 'NRGN']",8,R403C
GOCC_CYTOSOLIC_RIBOSOME,GO:CC Cytosolic Ribosome,Broader cytoplasmic ribosome / translation,1.40132904551344,-2.50957583064223,0.0571298292794862,4.09315406297161e-08,"['RPL23', 'RPLP1', 'RPS14', 'EEF1A1', 'RPL31', 'RPS12', 'RPL6', 'RPL12', 'RPS28', 'RPL27A', 'RPS27', 'RPL26', 'RPS4X', 'RPL35A', 'RPL11', 'RPL5', 'RPL30', 'RPS16', 'RPL36', 'RPS20', 'RPL24', 'RPS8', 'RPL27', 'RPL13A', 'PELO', 'RPL37A', 'RPL9', 'RPS29', 'RPL34', 'RPL8', 'RPS3', 'RPL19', 'RPS6', 'RPL3', 'RPL38', 'RPL4', 'RPL28', 'RPL22', 'RPS7', 'RPL7', 'RPL39', 'RPS27A', 'RPL21', 'RPLP2', 'FAU', 'RPS19', 'RPL32', 'RPL41', 'RPS15A', 'RPL17', 'UBA52', 'RACK1', 'RPL10A', 'RPL15', 'RNF14', 'RPL18', 'EIF2AK4', 'RPL29', 'RPL13']",59,R403C
GOCC_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT,GO:CC Cyto. Large Subunit,Broader cytoplasmic ribosome / translation,1.66201779760418,-2.45442332143659,0.0181269627604963,4.16629554542903e-05,"['RPL23', 'RPLP1', 'RPL31', 'RPL6', 'RPL12', 'RPL27A', 'RPL26', 'RPL35A', 'RPL11', 'RPL5', 'RPL30', 'RPL36', 'RPL24', 'RPL27', 'RPL13A', 'RPL37A', 'RPL9', 'RPL34', 'RPL8', 'RPL19', 'RPL3', 'RPL38', 'RPL4', 'RPL28', 'RPL22', 'RPL7', 'RPL39', 'RPL21', 'RPLP2', 'RPL32', 'RPL41', 'RPL17', 'UBA52', 'RPL10A', 'RPL15', 'RPL18', 'RPL29', 'RPL13', 'RPL14']",39,R403C
GOCC_CYTOSOLIC_SMALL_RIBOSOMAL_SUBUNIT,GO:CC Cyto. Small Subunit,Broader cytoplasmic ribosome / translation,1.0789497847049,-2.00375340466384,0.449891103111663,0.0262304683414563,"['RPS14', 'RPS12', 'RPS28', 'RPS27', 'RPS4X', 'RPS16', 'RPS20', 'RPS8', 'RPS29', 'RPS3', 'RPS6', 'RPS7', 'RPS27A', 'FAU', 'RPS19', 'RPS15A', 'RACK1']",17,R403C
WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS,WP Cyto. Ribosomal Proteins,Broader cytoplasmic ribosome / translation,1.87216506977091,-2.48136987485122,0.0019595963859891,2.61944875426392e-06,"['RPL23', 'RPLP1', 'RPS14', 'RPL31', 'RPS12', 'RPL6', 'RPL12', 'RPS28', 'RPL27A', 'RPS27', 'RPL26', 'RPS4X', 'RPL35A', 'RPL11', 'RPS6KA3', 'RPL5', 'RPL30', 'RPS16', 'RPL36', 'RPS20', 'RPL24', 'RPS8', 'RPL27', 'RPL13A', 'RPL37A', 'RPL9', 'RPS29', 'RPL34', 'RPL8', 'RPS3', 'RPL19', 'RPS6', 'RPL3', 'RPL38', 'RPL4', 'RPL28', 'RPL22', 'RPS7', 'RPL7', 'RPL39', 'RPS27A', 'RPS6KB2', 'RPL21', 'RPLP2', 'FAU', 'RPS19', 'RPL32', 'RPL41', 'RPS15A', 'RPL17', 'UBA52', 'RPL10A', 'RPL15', 'RPL18', 'RPL29', 'RPL13']",56,R403C
