"pathway_id","gene_symbol"
"GO:0014069","ABI1"
"GO:0014069","ABI1"
"GO:0014069","ABI1"
"GO:0014069","ABL1"
"GO:0014069","ABLIM1"
"GO:0014069","ADGRA1"
"GO:0014069","AGAP3"
"GO:0099524","ALDOC"
"GO:0014069","ALS2"
"GO:0014069","AMOT"
"GO:0014069","ANK3"
"GO:0099523","ANKS1B"
"GO:0014069","ANKS1B"
"GO:0014069","APBB1"
"GO:0014069","ARF1"
"GO:0014069","ARHGAP32"
"GO:0014069","ARHGAP33"
"GO:0014069","ARHGAP44"
"GO:0099523","ARL6IP5"
"GO:0014069","ARPC5"
"GO:0014069","ARRB1"
"GO:0014069","ARRB2"
"GO:0014069","AURKA"
"GO:0014069","BAIAP2"
"GO:0099524","BAIAP2"
"GO:0099523","BAIAP2"
"GO:0014069","BRSK1"
"GO:0099523","C9ORF72"
"GO:0099523","CALB1"
"GO:0099524","CALB1"
"GO:0099523","CALM1"
"GO:0099524","CALM1"
"GO:0099523","CALM2"
"GO:0099524","CALM2"
"GO:0099524","CALM3"
"GO:0099523","CALM3"
"GO:0014069","CAMK1"
"GO:0099523","CAMK2A"
"GO:0014069","CAMK2A"
"GO:0099524","CAMK2A"
"GO:0014069","CAMK2B"
"GO:0099524","CAMK2D"
"GO:0099524","CAMK2G"
"GO:0014069","CAPN1"
"GO:0014069","CAPZB"
"GO:0014069","CASP3"
"GO:0014069","CD200"
"GO:0014069","CHMP2B"
"GO:0014069","CHMP4B"
"GO:0014069","CPEB1"
"GO:0014069","CRTAC1"
"GO:0014069","CRTC1"
"GO:0099523","CSNK2B"
"GO:0099523","CTBP2"
"GO:0045211","CTNNB1"
"GO:0014069","CTNND2"
"GO:0014069","CTNND2"
"GO:0014069","CYLD"
"GO:0099524","DAG1"
"GO:0014069","DAPK1"
"GO:0099524","DBN1"
"GO:0014069","DBN1"
"GO:0045211","DBN1"
"GO:0045211","DBN1"
"GO:0014069","DDX3X"
"GO:0014069","DGCR8"
"GO:0014069","DGKZ"
"GO:0014069","DISC1"
"GO:0014069","DLG5"
"GO:0014069","DNAJB1"
"GO:0014069","DPYSL2"
"GO:0014069","DROSHA"
"GO:0014069","DRP2"
"GO:0014069","DTNBP1"
"GO:0014069","DVL1"
"GO:0014069","DYNLL2"
"GO:0014069","EEF2K"
"GO:0014069","EGLN1"
"GO:0014069","EIF3A"
"GO:0014069","EIF3A"
"GO:0014069","EIF3E"
"GO:0099524","EIF4E"
"GO:0099524","EIF4EBP1"
"GO:0014069","EIF4G2"
"GO:0014069","EIF4G2"
"GO:0014069","EPS8"
"GO:0014069","EPS8"
"GO:0099523","ERC1"
"GO:0099524","FABP5"
"GO:0099523","FBXO45"
"GO:0099524","FBXO45"
"GO:0099523","FMR1"
"GO:0099524","FMR1"
"GO:0014069","FRMPD4"
"GO:0014069","FRMPD4"
"GO:0099524","FUS"
"GO:0099523","FUS"
"GO:0099523","FUS"
"GO:0099524","GDA"
"GO:0099523","GDA"
"GO:0099523","GDI1"
"GO:0045211","GNAO1"
"GO:0045211","GNB5"
"GO:0045211","GNB5"
"GO:0045211","GNB5"
"GO:0014069","GPSM2"
"GO:0014069","GRIP1"
"GO:0014069","GRIP2"
"GO:0014069","GRK2"
"GO:0014069","GRK3"
"GO:0014069","GSK3B"
"GO:0099524","HAP1"
"GO:0099523","HAP1"
"GO:0045211","HIP1"
"GO:0014069","HNRNPA2B1"
"GO:0099524","HNRNPA2B1"
"GO:0014069","HNRNPA3"
"GO:0014069","HNRNPA3"
"GO:0099523","HNRNPAB"
"GO:0099523","HNRNPAB"
"GO:0014069","HNRNPD"
"GO:0014069","HNRNPH1"
"GO:0014069","HNRNPH2"
"GO:0014069","HNRNPM"
"GO:0014069","HOMER1"
"GO:0099524","HOMER1"
"GO:0014069","HOMER2"
"GO:0014069","HOMER3"
"GO:0014069","HSPA8"
"GO:0014069","HSPA8"
"GO:0099523","HTT"
"GO:0099524","HTT"
"GO:0014069","INPP4A"
"GO:0014069","KALRN"
"GO:0045211","KCTD12"
"GO:0045211","KCTD12"
"GO:0045211","KCTD16"
"GO:0099524","KIF5A"
"GO:0099524","KIF5B"
"GO:0099524","KIF5B"
"GO:0099524","KIF5C"
"GO:0014069","KPNA1"
"GO:0014069","KPNA2"
"GO:0099523","LRRK2"
"GO:0099523","LRRK2"
"GO:0014069","LZTS3"
"GO:0014069","MAGI2"
"GO:0014069","MAP1A"
"GO:0014069","MAP2K1"
