"sample","genotype","days","rep","module","gsva_score"
"D35Ctrl_222","Ctrl","D35","rep1","ATP_Hydrolysis",0.637432211057007
"D35Ctrl_322","Ctrl","D35","rep2","ATP_Hydrolysis",0.630372240544338
"D35Ctrl_323","Ctrl","D35","rep3","ATP_Hydrolysis",0.566886331848118
"D35GAF7_322","G32A","D35","rep3","ATP_Hydrolysis",-0.462111898402632
"D35GAF7_323","G32A","D35","rep5","ATP_Hydrolysis",-0.450675255347572
"D35GAG5_222","G32A","D35","rep1","ATP_Hydrolysis",0.57023256760847
"D35GAG5_322","G32A","D35","rep2","ATP_Hydrolysis",-0.587790627828609
"D35GAG5_323","G32A","D35","rep4","ATP_Hydrolysis",0.220842401284967
"D35RCD5_222","R403C","D35","rep1","ATP_Hydrolysis",0.695077223366242
"D35RCD5_322","R403C","D35","rep3","ATP_Hydrolysis",-0.556591515691152
"D35RCD5_323","R403C","D35","rep5","ATP_Hydrolysis",-0.214617015853704
"D35RCG3_222","R403C","D35","rep2","ATP_Hydrolysis",0.442071445658056
"D35RCG3_322","R403C","D35","rep4","ATP_Hydrolysis",-0.120158342400131
"D35RCG3_323","R403C","D35","rep6","ATP_Hydrolysis",-0.316000208615638
"D65Ctrl_1123","Ctrl","D65","rep3","ATP_Hydrolysis",-0.399639570124562
"D65Ctrl_222","Ctrl","D65","rep1","ATP_Hydrolysis",-0.0932226734472089
"D65Ctrl_423","Ctrl","D65","rep2","ATP_Hydrolysis",-0.35420402325644
"D65GA_1123","G32A","D65","rep4","ATP_Hydrolysis",-0.30912948380102
"D65GAF7_222","G32A","D65","rep1","ATP_Hydrolysis",-0.178090670962829
"D65GAF7_423","G32A","D65","rep2","ATP_Hydrolysis",-0.16525763631544
"D65GAG5_423","G32A","D65","rep3","ATP_Hydrolysis",-0.389459519873176
"D65RC_1123","R403C","D65","rep4","ATP_Hydrolysis",0.448996074634514
"D65RCD5_423","R403C","D65","rep2","ATP_Hydrolysis",-0.375594686224777
"D65RCG3_222","R403C","D65","rep1","ATP_Hydrolysis",0.104181981484234
"D65RCG3_423","R403C","D65","rep3","ATP_Hydrolysis",-0.427930828784451
"D35Ctrl_222","Ctrl","D35","rep1","Cytoplasmic_Translation",-0.407358186599579
"D35Ctrl_322","Ctrl","D35","rep2","Cytoplasmic_Translation",0.222827801158359
"D35Ctrl_323","Ctrl","D35","rep3","Cytoplasmic_Translation",-0.741415826398868
"D35GAF7_322","G32A","D35","rep3","Cytoplasmic_Translation",0.348707493125368
"D35GAF7_323","G32A","D35","rep5","Cytoplasmic_Translation",0.0521023867185613
"D35GAG5_222","G32A","D35","rep1","Cytoplasmic_Translation",0.0927466312745518
"D35GAG5_322","G32A","D35","rep2","Cytoplasmic_Translation",0.588707655108144
"D35GAG5_323","G32A","D35","rep4","Cytoplasmic_Translation",-0.0127064798037314
"D35RCD5_222","R403C","D35","rep1","Cytoplasmic_Translation",0.132308695062986
"D35RCD5_322","R403C","D35","rep3","Cytoplasmic_Translation",0.609409615288395
"D35RCD5_323","R403C","D35","rep5","Cytoplasmic_Translation",0.307633778122438
"D35RCG3_222","R403C","D35","rep2","Cytoplasmic_Translation",-0.150875253118194
"D35RCG3_322","R403C","D35","rep4","Cytoplasmic_Translation",-0.271001435220079
"D35RCG3_323","R403C","D35","rep6","Cytoplasmic_Translation",-0.619658828278332
"D65Ctrl_1123","Ctrl","D65","rep3","Cytoplasmic_Translation",0.699381551160766
"D65Ctrl_222","Ctrl","D65","rep1","Cytoplasmic_Translation",-0.727130380171779
"D65Ctrl_423","Ctrl","D65","rep2","Cytoplasmic_Translation",0.671650993858641
"D65GA_1123","G32A","D65","rep4","Cytoplasmic_Translation",0.587899233729579
"D65GAF7_222","G32A","D65","rep1","Cytoplasmic_Translation",-0.71940195853025
"D65GAF7_423","G32A","D65","rep2","Cytoplasmic_Translation",0.375075295529243
"D65GAG5_423","G32A","D65","rep3","Cytoplasmic_Translation",-0.386963017857605
"D65RC_1123","R403C","D65","rep4","Cytoplasmic_Translation",-0.67990227432944
"D65RCD5_423","R403C","D65","rep2","Cytoplasmic_Translation",0.367401127444446
"D65RCG3_222","R403C","D65","rep1","Cytoplasmic_Translation",0.361697649629612
"D65RCG3_423","R403C","D65","rep3","Cytoplasmic_Translation",-0.193966085042639
"D35Ctrl_222","Ctrl","D35","rep1","Mito_Ribosome_Assembly",0.470028115295523
"D35Ctrl_322","Ctrl","D35","rep2","Mito_Ribosome_Assembly",0.510692685041002
"D35Ctrl_323","Ctrl","D35","rep3","Mito_Ribosome_Assembly",0.31697395792733
"D35GAF7_322","G32A","D35","rep3","Mito_Ribosome_Assembly",-0.372746113598054
"D35GAF7_323","G32A","D35","rep5","Mito_Ribosome_Assembly",-0.362977870149672
"D35GAG5_222","G32A","D35","rep1","Mito_Ribosome_Assembly",0.516200308883508
"D35GAG5_322","G32A","D35","rep2","Mito_Ribosome_Assembly",-0.467470085236423
"D35GAG5_323","G32A","D35","rep4","Mito_Ribosome_Assembly",0.173310605567669
"D35RCD5_222","R403C","D35","rep1","Mito_Ribosome_Assembly",0.616249225265818
"D35RCD5_322","R403C","D35","rep3","Mito_Ribosome_Assembly",-0.385369480641321
"D35RCD5_323","R403C","D35","rep5","Mito_Ribosome_Assembly",-0.050084719268141
"D35RCG3_222","R403C","D35","rep2","Mito_Ribosome_Assembly",0.219926875462162
"D35RCG3_322","R403C","D35","rep4","Mito_Ribosome_Assembly",-0.406978226078049
"D35RCG3_323","R403C","D35","rep6","Mito_Ribosome_Assembly",-0.302593639983422
"D65Ctrl_1123","Ctrl","D65","rep3","Mito_Ribosome_Assembly",-0.188058940848059
"D65Ctrl_222","Ctrl","D65","rep1","Mito_Ribosome_Assembly",-0.2335500966488
"D65Ctrl_423","Ctrl","D65","rep2","Mito_Ribosome_Assembly",-0.488036571161484
"D65GA_1123","G32A","D65","rep4","Mito_Ribosome_Assembly",-0.100484195591234
"D65GAF7_222","G32A","D65","rep1","Mito_Ribosome_Assembly",-0.133447495781609
"D65GAF7_423","G32A","D65","rep2","Mito_Ribosome_Assembly",-0.248459187699784
"D65GAG5_423","G32A","D65","rep3","Mito_Ribosome_Assembly",-0.192706479831046
"D65RC_1123","R403C","D65","rep4","Mito_Ribosome_Assembly",0.327291955360842
"D65RCD5_423","R403C","D65","rep2","Mito_Ribosome_Assembly",-0.493879674243575
"D65RCG3_222","R403C","D65","rep1","Mito_Ribosome_Assembly",0.228201884541887
"D65RCG3_423","R403C","D65","rep3","Mito_Ribosome_Assembly",-0.386474987999619
"D35Ctrl_222","Ctrl","D35","rep1","Mitochondrial_Ribosome",0.683936452589437
"D35Ctrl_322","Ctrl","D35","rep2","Mitochondrial_Ribosome",0.457442934827804
"D35Ctrl_323","Ctrl","D35","rep3","Mitochondrial_Ribosome",-0.178721862127347
"D35GAF7_322","G32A","D35","rep3","Mitochondrial_Ribosome",-0.108263995775705
"D35GAF7_323","G32A","D35","rep5","Mitochondrial_Ribosome",-0.529334114555457
"D35GAG5_222","G32A","D35","rep1","Mitochondrial_Ribosome",0.670306474533446
"D35GAG5_322","G32A","D35","rep2","Mitochondrial_Ribosome",-0.412527806072832
"D35GAG5_323","G32A","D35","rep4","Mitochondrial_Ribosome",-0.377680110967568
"D35RCD5_222","R403C","D35","rep1","Mitochondrial_Ribosome",0.674166973177849
"D35RCD5_322","R403C","D35","rep3","Mitochondrial_Ribosome",-0.195962813688292
"D35RCD5_323","R403C","D35","rep5","Mitochondrial_Ribosome",-0.419265942219556
"D35RCG3_222","R403C","D35","rep2","Mitochondrial_Ribosome",0.549865552280713
"D35RCG3_322","R403C","D35","rep4","Mitochondrial_Ribosome",-0.255564840170548
"D35RCG3_323","R403C","D35","rep6","Mitochondrial_Ribosome",-0.427961206716183
"D65Ctrl_1123","Ctrl","D65","rep3","Mitochondrial_Ribosome",-0.13271285054352
"D65Ctrl_222","Ctrl","D65","rep1","Mitochondrial_Ribosome",0.00918082558447181
"D65Ctrl_423","Ctrl","D65","rep2","Mitochondrial_Ribosome",-0.39710905279377
"D65GA_1123","G32A","D65","rep4","Mitochondrial_Ribosome",-0.162251303051757
"D65GAF7_222","G32A","D65","rep1","Mitochondrial_Ribosome",-0.139765818975207
"D65GAF7_423","G32A","D65","rep2","Mitochondrial_Ribosome",-0.408264417622912
"D65GAG5_423","G32A","D65","rep3","Mitochondrial_Ribosome",-0.530683425199654
"D65RC_1123","R403C","D65","rep4","Mitochondrial_Ribosome",-0.284478010519021
"D65RCD5_423","R403C","D65","rep2","Mitochondrial_Ribosome",-0.436413691826898
"D65RCG3_222","R403C","D65","rep1","Mitochondrial_Ribosome",0.479917432083393
"D65RCG3_423","R403C","D65","rep3","Mitochondrial_Ribosome",-0.445784964131862
"D35Ctrl_222","Ctrl","D35","rep1","OXPHOS",0.51664727003151
"D35Ctrl_322","Ctrl","D35","rep2","OXPHOS",0.39222961513234
"D35Ctrl_323","Ctrl","D35","rep3","OXPHOS",-0.226800903337896
"D35GAF7_322","G32A","D35","rep3","OXPHOS",0.27305634097834
"D35GAF7_323","G32A","D35","rep5","OXPHOS",-0.42504334949546
"D35GAG5_222","G32A","D35","rep1","OXPHOS",0.466095441488643
"D35GAG5_322","G32A","D35","rep2","OXPHOS",-0.313438462335839
"D35GAG5_323","G32A","D35","rep4","OXPHOS",-0.362251517912135
"D35RCD5_222","R403C","D35","rep1","OXPHOS",0.534259487231007
"D35RCD5_322","R403C","D35","rep3","OXPHOS",-0.0215464398744908
"D35RCD5_323","R403C","D35","rep5","OXPHOS",-0.35301167499307
"D35RCG3_222","R403C","D35","rep2","OXPHOS",0.269423385493569
"D35RCG3_322","R403C","D35","rep4","OXPHOS",-0.311440894794992
"D35RCG3_323","R403C","D35","rep6","OXPHOS",-0.422014782484611
