"contrast","gene","AveExpr","logFC","P.Value","adj.P.Val","passes_AveExpr_gt_0"
"G32A_vs_Ctrl_D35","NNAT",3.099,-4.095,1.27e-11,2.68e-07,TRUE
"G32A_vs_Ctrl_D35","CACNG3",-1.387,-1.852,0.0227,0.55,FALSE
"G32A_vs_Ctrl_D35","CACNA1S",-2.661,1.524,0.216,0.706,FALSE
"G32A_vs_Ctrl_D35","ATP2A1",1.828,-0.101,0.756,0.939,TRUE
"G32A_vs_Ctrl_D35","RYR1",2.971,2.016,0.218,0.707,TRUE
"G32A_vs_Ctrl_D35","MYLK3",0.495,1.058,0.072,0.593,TRUE
"G32A_vs_Ctrl_D35","VDR",-1.274,0.617,0.727,0.933,FALSE
"G32A_vs_Ctrl_D35","STIM1",5.667,0.723,0.00506,0.538,TRUE
"G32A_vs_Ctrl_D35","STIM2",5.149,-0.254,0.433,0.827,TRUE
"G32A_vs_Ctrl_D35","ORAI1_1",0.7,-0.56,0.0305,0.55,TRUE
"G32A_vs_Ctrl_D35","CALB1",3.909,1.899,0.134,0.653,TRUE
"G32A_vs_Ctrl_D35","CALR",9.001,0.327,0.558,0.879,TRUE
"G32A_vs_Ctrl_D35","PNPO",0.954,-6.554,1.64e-07,0.000494,TRUE
"R403C_vs_Ctrl_D35","NNAT",3.099,-4.178,3.05e-12,6.43e-08,TRUE
"R403C_vs_Ctrl_D35","CACNG3",-1.387,-1.866,0.0162,0.45,FALSE
"R403C_vs_Ctrl_D35","CACNA1S",-2.661,1.616,0.178,0.639,FALSE
"R403C_vs_Ctrl_D35","ATP2A1",1.828,0.279,0.37,0.769,TRUE
"R403C_vs_Ctrl_D35","RYR1",2.971,1.779,0.267,0.705,TRUE
"R403C_vs_Ctrl_D35","MYLK3",0.495,1.08,0.0595,0.53,TRUE
"R403C_vs_Ctrl_D35","VDR",-1.274,1.205,0.475,0.823,FALSE
"R403C_vs_Ctrl_D35","STIM1",5.667,0.582,0.0173,0.458,TRUE
"R403C_vs_Ctrl_D35","STIM2",5.149,-0.068,0.824,0.954,TRUE
"R403C_vs_Ctrl_D35","ORAI1_1",0.7,-0.155,0.508,0.835,TRUE
"R403C_vs_Ctrl_D35","CALB1",3.909,1.55,0.213,0.667,TRUE
"R403C_vs_Ctrl_D35","CALR",9.001,0.537,0.323,0.742,TRUE
"R403C_vs_Ctrl_D35","PNPO",0.954,0.41,0.375,0.772,TRUE
"G32A_vs_Ctrl_D65","NNAT",3.099,-3.37,5.06e-09,4.12e-05,TRUE
"G32A_vs_Ctrl_D65","CACNG3",-1.387,-2.051,0.0422,1,FALSE
"G32A_vs_Ctrl_D65","CACNA1S",-2.661,0.709,0.65,1,FALSE
"G32A_vs_Ctrl_D65","ATP2A1",1.828,0.018,0.956,1,TRUE
"G32A_vs_Ctrl_D65","RYR1",2.971,-0.093,0.94,1,TRUE
"G32A_vs_Ctrl_D65","MYLK3",0.495,-0.249,0.674,1,TRUE
"G32A_vs_Ctrl_D65","VDR",-1.274,-0.328,0.808,1,FALSE
"G32A_vs_Ctrl_D65","STIM1",5.667,0.094,0.691,1,TRUE
"G32A_vs_Ctrl_D65","STIM2",5.149,-0.039,0.904,1,TRUE
"G32A_vs_Ctrl_D65","ORAI1_1",0.7,-0.497,0.0695,1,TRUE
"G32A_vs_Ctrl_D65","CALB1",3.909,0.604,0.655,1,TRUE
"G32A_vs_Ctrl_D65","CALR",9.001,-0.429,0.47,1,TRUE
"G32A_vs_Ctrl_D65","PNPO",0.954,-5.767,1.96e-07,0.000689,TRUE
"R403C_vs_Ctrl_D65","NNAT",3.099,-3.588,2.37e-09,2.5e-05,TRUE
"R403C_vs_Ctrl_D65","CACNG3",-1.387,-2.114,0.0368,1,FALSE
"R403C_vs_Ctrl_D65","CACNA1S",-2.661,1.975,0.18,1,FALSE
"R403C_vs_Ctrl_D65","ATP2A1",1.828,-0.324,0.337,1,TRUE
"R403C_vs_Ctrl_D65","RYR1",2.971,-0.754,0.572,1,TRUE
"R403C_vs_Ctrl_D65","MYLK3",0.495,0.119,0.837,1,TRUE
"R403C_vs_Ctrl_D65","VDR",-1.274,0.157,0.902,1,FALSE
"R403C_vs_Ctrl_D65","STIM1",5.667,-0.012,0.96,1,TRUE
"R403C_vs_Ctrl_D65","STIM2",5.149,0.012,0.97,1,TRUE
"R403C_vs_Ctrl_D65","ORAI1_1",0.7,-0.387,0.149,1,TRUE
"R403C_vs_Ctrl_D65","CALB1",3.909,0.326,0.811,1,TRUE
"R403C_vs_Ctrl_D65","CALR",9.001,0.023,0.968,1,TRUE
"R403C_vs_Ctrl_D65","PNPO",0.954,0.341,0.447,1,TRUE
"Time_Ctrl","NNAT",3.099,-1.088,0.000703,0.137,TRUE
"Time_Ctrl","CACNG3",-1.387,-0.929,0.251,0.622,FALSE
"Time_Ctrl","CACNA1S",-2.661,-1.021,0.527,0.809,FALSE
"Time_Ctrl","ATP2A1",1.828,0.268,0.453,0.766,TRUE
"Time_Ctrl","RYR1",2.971,2.868,0.0959,0.458,TRUE
"Time_Ctrl","MYLK3",0.495,0.497,0.442,0.758,TRUE
"Time_Ctrl","VDR",-1.274,2.335,0.189,0.566,FALSE
"Time_Ctrl","STIM1",5.667,0.547,0.0463,0.363,TRUE
"Time_Ctrl","STIM2",5.149,0.277,0.429,0.75,TRUE
"Time_Ctrl","ORAI1_1",0.7,-0.206,0.45,0.764,TRUE
"Time_Ctrl","CALB1",3.909,0.177,0.906,0.971,TRUE
"Time_Ctrl","CALR",9.001,-0.165,0.792,0.931,TRUE
"Time_Ctrl","PNPO",0.954,0.666,0.204,0.58,TRUE
"Time_G32A","NNAT",3.099,-0.363,0.366,0.659,TRUE
"Time_G32A","CACNG3",-1.387,-1.128,0.235,0.543,FALSE
"Time_G32A","CACNA1S",-2.661,-1.837,0.12,0.409,FALSE
"Time_G32A","ATP2A1",1.828,0.387,0.196,0.503,TRUE
"Time_G32A","RYR1",2.971,0.758,0.513,0.764,TRUE
"Time_G32A","MYLK3",0.495,-0.81,0.12,0.41,TRUE
"Time_G32A","VDR",-1.274,1.39,0.318,0.621,FALSE
"Time_G32A","STIM1",5.667,-0.082,0.693,0.866,TRUE
"Time_G32A","STIM2",5.149,0.492,0.103,0.386,TRUE
"Time_G32A","ORAI1_1",0.7,-0.142,0.55,0.786,TRUE
"Time_G32A","CALB1",3.909,-1.118,0.291,0.598,TRUE
"Time_G32A","CALR",9.001,-0.921,0.085,0.359,TRUE
"Time_G32A","PNPO",0.954,1.454,0.176,0.48,TRUE
"Time_R403C","NNAT",3.099,-0.498,0.211,0.499,TRUE
"Time_R403C","CACNG3",-1.387,-1.176,0.2,0.488,FALSE
"Time_R403C","CACNA1S",-2.661,-0.663,0.479,0.722,FALSE
"Time_R403C","ATP2A1",1.828,-0.334,0.245,0.533,TRUE
"Time_R403C","RYR1",2.971,0.335,0.784,0.903,TRUE
"Time_R403C","MYLK3",0.495,-0.464,0.335,0.612,TRUE
"Time_R403C","VDR",-1.274,1.287,0.283,0.568,FALSE
"Time_R403C","STIM1",5.667,-0.047,0.813,0.919,TRUE
"Time_R403C","STIM2",5.149,0.357,0.205,0.492,TRUE
"Time_R403C","ORAI1_1",0.7,-0.438,0.0588,0.295,TRUE
"Time_R403C","CALB1",3.909,-1.047,0.324,0.603,TRUE
"Time_R403C","CALR",9.001,-0.679,0.177,0.463,TRUE
"Time_R403C","PNPO",0.954,0.597,0.126,0.402,TRUE
"Maturation_G32A_specific","NNAT",3.099,0.725,0.145,1,TRUE
"Maturation_G32A_specific","CACNG3",-1.387,-0.199,0.871,1,FALSE
"Maturation_G32A_specific","CACNA1S",-2.661,-0.815,0.68,1,FALSE
"Maturation_G32A_specific","ATP2A1",1.828,0.119,0.797,1,TRUE
"Maturation_G32A_specific","RYR1",2.971,-2.11,0.304,1,TRUE
"Maturation_G32A_specific","MYLK3",0.495,-1.307,0.12,1,TRUE
"Maturation_G32A_specific","VDR",-1.274,-0.945,0.671,1,FALSE
"Maturation_G32A_specific","STIM1",5.667,-0.629,0.0699,1,TRUE
"Maturation_G32A_specific","STIM2",5.149,0.215,0.637,1,TRUE
"Maturation_G32A_specific","ORAI1_1",0.7,0.064,0.859,1,TRUE
"Maturation_G32A_specific","CALB1",3.909,-1.295,0.481,1,TRUE
"Maturation_G32A_specific","CALR",9.001,-0.756,0.356,1,TRUE
"Maturation_G32A_specific","PNPO",0.954,0.787,0.503,1,TRUE
"Maturation_R403C_specific","NNAT",3.099,0.59,0.227,0.993,TRUE
"Maturation_R403C_specific","CACNG3",-1.387,-0.247,0.837,0.997,FALSE
"Maturation_R403C_specific","CACNA1S",-2.661,0.359,0.847,0.997,FALSE
"Maturation_R403C_specific","ATP2A1",1.828,-0.602,0.193,0.993,TRUE
"Maturation_R403C_specific","RYR1",2.971,-2.533,0.228,0.993,TRUE
"Maturation_R403C_specific","MYLK3",0.495,-0.961,0.237,0.993,TRUE
