ne,ns,ir,wr,mut,n_total,Comp,SR,Prog,NI,NW,LO,Tr,Complex,Classif,Comp_class_pct,NI_class_pct
0.4,0.8,0.6,1.25,G32A,5267,1190,397,0,498,4,94,0,3084,2183,54.51213925790197,22.8126431516262
0.4,0.8,0.6,1.25,R403C,5267,1246,624,0,703,8,73,1,2612,2655,46.930320150659135,26.47834274952919
0.4,0.8,0.6,1.3,G32A,5267,1190,397,0,498,2,94,0,3086,2181,54.56212746446584,22.833562585969737
0.4,0.8,0.6,1.3,R403C,5267,1246,624,0,703,4,73,1,2616,2651,47.00113164843455,26.518294983025275
0.4,0.8,0.6,1.4,G32A,5267,1190,397,0,498,1,94,0,3087,2180,54.58715596330275,22.844036697247706
0.4,0.8,0.6,1.4,R403C,5267,1246,624,0,703,1,73,1,2619,2648,47.05438066465257,26.548338368580062
0.4,0.8,0.7,1.25,G32A,5267,1462,244,0,731,4,94,0,2732,2535,57.67258382642998,28.83629191321499
0.4,0.8,0.7,1.25,R403C,5267,1612,386,0,1010,8,73,1,2177,3090,52.16828478964401,32.68608414239482
0.4,0.8,0.7,1.3,G32A,5267,1462,244,0,731,2,94,0,2734,2533,57.718120805369125,28.859060402684563
0.4,0.8,0.7,1.3,R403C,5267,1612,386,0,1010,4,73,1,2181,3086,52.23590408295528,32.72845106934543
0.4,0.8,0.7,1.4,G32A,5267,1462,244,0,731,1,94,0,2735,2532,57.74091627172196,28.87045813586098
0.4,0.8,0.7,1.4,R403C,5267,1612,386,0,1010,1,73,1,2184,3083,52.286733700940644,32.76029841063899
0.4,0.8,0.8,1.25,G32A,5267,1590,145,0,890,4,94,0,2544,2723,58.39147998531032,32.68453911127433
0.4,0.8,0.8,1.25,R403C,5267,1832,202,0,1253,8,73,1,1898,3369,54.37815375482339,37.19204511724547
0.4,0.8,0.8,1.3,G32A,5267,1590,145,0,890,2,94,0,2546,2721,58.43439911797133,32.70856302829842
0.4,0.8,0.8,1.3,R403C,5267,1832,202,0,1253,4,73,1,1902,3365,54.442793462109954,37.23625557206538
0.4,0.8,0.8,1.4,G32A,5267,1590,145,0,890,1,94,0,2547,2720,58.455882352941174,32.720588235294116
0.4,0.8,0.8,1.4,R403C,5267,1832,202,0,1253,1,73,1,1905,3362,54.491374182034505,37.26948245092207
0.4,1.0,0.6,1.25,G32A,5267,1190,397,0,498,4,94,0,3084,2183,54.51213925790197,22.8126431516262
0.4,1.0,0.6,1.25,R403C,5267,1246,624,0,703,8,73,1,2612,2655,46.930320150659135,26.47834274952919
0.4,1.0,0.6,1.3,G32A,5267,1190,397,0,498,2,94,0,3086,2181,54.56212746446584,22.833562585969737
0.4,1.0,0.6,1.3,R403C,5267,1246,624,0,703,4,73,1,2616,2651,47.00113164843455,26.518294983025275
0.4,1.0,0.6,1.4,G32A,5267,1190,397,0,498,1,94,0,3087,2180,54.58715596330275,22.844036697247706
0.4,1.0,0.6,1.4,R403C,5267,1246,624,0,703,1,73,1,2619,2648,47.05438066465257,26.548338368580062
0.4,1.0,0.7,1.25,G32A,5267,1462,244,0,731,4,94,0,2732,2535,57.67258382642998,28.83629191321499
0.4,1.0,0.7,1.25,R403C,5267,1612,386,0,1010,8,73,1,2177,3090,52.16828478964401,32.68608414239482
0.4,1.0,0.7,1.3,G32A,5267,1462,244,0,731,2,94,0,2734,2533,57.718120805369125,28.859060402684563
0.4,1.0,0.7,1.3,R403C,5267,1612,386,0,1010,4,73,1,2181,3086,52.23590408295528,32.72845106934543
0.4,1.0,0.7,1.4,G32A,5267,1462,244,0,731,1,94,0,2735,2532,57.74091627172196,28.87045813586098
0.4,1.0,0.7,1.4,R403C,5267,1612,386,0,1010,1,73,1,2184,3083,52.286733700940644,32.76029841063899
0.4,1.0,0.8,1.25,G32A,5267,1590,145,0,890,4,94,0,2544,2723,58.39147998531032,32.68453911127433
0.4,1.0,0.8,1.25,R403C,5267,1832,202,0,1253,8,73,1,1898,3369,54.37815375482339,37.19204511724547
0.4,1.0,0.8,1.3,G32A,5267,1590,145,0,890,2,94,0,2546,2721,58.43439911797133,32.70856302829842
0.4,1.0,0.8,1.3,R403C,5267,1832,202,0,1253,4,73,1,1902,3365,54.442793462109954,37.23625557206538
0.4,1.0,0.8,1.4,G32A,5267,1590,145,0,890,1,94,0,2547,2720,58.455882352941174,32.720588235294116
0.4,1.0,0.8,1.4,R403C,5267,1832,202,0,1253,1,73,1,1905,3362,54.491374182034505,37.26948245092207
0.4,1.2,0.6,1.25,G32A,5267,1190,397,0,498,4,94,0,3084,2183,54.51213925790197,22.8126431516262
0.4,1.2,0.6,1.25,R403C,5267,1246,624,0,703,8,73,1,2612,2655,46.930320150659135,26.47834274952919
0.4,1.2,0.6,1.3,G32A,5267,1190,397,0,498,2,94,0,3086,2181,54.56212746446584,22.833562585969737
0.4,1.2,0.6,1.3,R403C,5267,1246,624,0,703,4,73,1,2616,2651,47.00113164843455,26.518294983025275
0.4,1.2,0.6,1.4,G32A,5267,1190,397,0,498,1,94,0,3087,2180,54.58715596330275,22.844036697247706
0.4,1.2,0.6,1.4,R403C,5267,1246,624,0,703,1,73,1,2619,2648,47.05438066465257,26.548338368580062
0.4,1.2,0.7,1.25,G32A,5267,1462,244,0,731,4,94,0,2732,2535,57.67258382642998,28.83629191321499
0.4,1.2,0.7,1.25,R403C,5267,1612,386,0,1010,8,73,1,2177,3090,52.16828478964401,32.68608414239482
0.4,1.2,0.7,1.3,G32A,5267,1462,244,0,731,2,94,0,2734,2533,57.718120805369125,28.859060402684563
0.4,1.2,0.7,1.3,R403C,5267,1612,386,0,1010,4,73,1,2181,3086,52.23590408295528,32.72845106934543
0.4,1.2,0.7,1.4,G32A,5267,1462,244,0,731,1,94,0,2735,2532,57.74091627172196,28.87045813586098
0.4,1.2,0.7,1.4,R403C,5267,1612,386,0,1010,1,73,1,2184,3083,52.286733700940644,32.76029841063899
0.4,1.2,0.8,1.25,G32A,5267,1590,145,0,890,4,94,0,2544,2723,58.39147998531032,32.68453911127433
0.4,1.2,0.8,1.25,R403C,5267,1832,202,0,1253,8,73,1,1898,3369,54.37815375482339,37.19204511724547
0.4,1.2,0.8,1.3,G32A,5267,1590,145,0,890,2,94,0,2546,2721,58.43439911797133,32.70856302829842
0.4,1.2,0.8,1.3,R403C,5267,1832,202,0,1253,4,73,1,1902,3365,54.442793462109954,37.23625557206538
0.4,1.2,0.8,1.4,G32A,5267,1590,145,0,890,1,94,0,2547,2720,58.455882352941174,32.720588235294116
0.4,1.2,0.8,1.4,R403C,5267,1832,202,0,1253,1,73,1,1905,3362,54.491374182034505,37.26948245092207
0.5,0.8,0.6,1.25,G32A,5267,1190,397,0,496,4,94,2,3084,2183,54.51213925790197,22.72102611085662
0.5,0.8,0.6,1.25,R403C,5267,1246,624,0,692,8,73,12,2612,2655,46.930320150659135,26.06403013182674
0.5,0.8,0.6,1.3,G32A,5267,1190,397,0,496,2,94,2,3086,2181,54.56212746446584,22.74186153140761
0.5,0.8,0.6,1.3,R403C,5267,1246,624,0,692,4,73,12,2616,2651,47.00113164843455,26.103357223689173
0.5,0.8,0.6,1.4,G32A,5267,1190,397,0,496,1,94,2,3087,2180,54.58715596330275,22.75229357798165
0.5,0.8,0.6,1.4,R403C,5267,1246,624,0,692,1,73,12,2619,2648,47.05438066465257,26.132930513595166
0.5,0.8,0.7,1.25,G32A,5267,1462,244,0,729,4,94,2,2732,2535,57.67258382642998,28.757396449704142
0.5,0.8,0.7,1.25,R403C,5267,1612,386,0,999,8,73,12,2177,3090,52.16828478964401,32.33009708737864
0.5,0.8,0.7,1.3,G32A,5267,1462,244,0,729,2,94,2,2734,2533,57.718120805369125,28.78010264508488
