"Gene","Membership","G32A_logFC","G32A_FDR","G32A_dir","R403C_logFC","R403C_FDR","R403C_dir","Mean_logFC"
"NFIX","shared",4.696,0.0471,"Up",4.23,0.0244,"Up",4.463
"MYBPH","shared",4.575,0.0437,"Up",4.09,0.0244,"Up",4.3325
"LMO7","shared",3.528,0.0471,"Up",3.41,0.0295,"Up",3.469
"P4HA3","shared",3.719,0.00788,"Up",1.903,0.049,"Up",2.811
"PLXND1","shared",3.334,0.00788,"Up",2.161,0.0354,"Up",2.7475
"C1QL1","shared",2.61,0.00788,"Up",2.81,0.000815,"Up",2.71
"EYS","shared",2.496,0.0295,"Up",2.837,0.00498,"Up",2.6665
"FBXL8","shared",1.931,0.0471,"Up",2.202,0.0152,"Up",2.0665
"DPF3","shared",1.764,0.0494,"Up",2.301,0.00807,"Up",2.0325
"DEPP1","shared",1.905,0.0481,"Up",2.139,0.0234,"Up",2.022
"TSPO","shared",1.713,0.0376,"Up",1.969,0.00523,"Up",1.841
"TAP2_2","shared",1.974,0.0231,"Up",1.62,0.0354,"Up",1.797
"GPR155","shared",1.602,0.0494,"Up",1.859,0.0234,"Up",1.7305
"PIK3CD","shared",1.45,0.0148,"Up",1.619,0.00446,"Up",1.5345
"SFXN3","shared",1.133,0.0231,"Up",1.172,0.00599,"Up",1.1525
"GDPD5","shared",1.288,0.012,"Up",0.997,0.0295,"Up",1.1425
"PEA15","shared",0.994,0.0471,"Up",1.14,0.0108,"Up",1.067
"RAPH1","shared",1.042,0.0252,"Up",0.819,0.0372,"Up",0.9305
"IDS","shared",0.843,0.034,"Up",0.808,0.0234,"Up",0.8255
"LARP6","shared",0.912,0.0372,"Up",0.724,0.0382,"Up",0.818
"PIK3CB","shared",0.782,0.0471,"Up",0.824,0.0234,"Up",0.803
"NCDN","shared",0.726,0.0494,"Up",0.768,0.029,"Up",0.747
"RNF41","shared",0.779,0.0471,"Up",0.688,0.0366,"Up",0.7335
"AAK1","shared",0.611,0.0494,"Up",0.581,0.0402,"Up",0.596
"PIGU","shared",-0.61,0.0481,"Down",-0.59,0.0366,"Down",-0.6
"ODF2","shared",-0.684,0.0471,"Down",-0.744,0.0227,"Down",-0.714
"TBL1X","shared",-0.876,0.0434,"Down",-0.785,0.0335,"Down",-0.8305
"E2F7","shared",-1.392,0.0494,"Down",-1.407,0.0335,"Down",-1.3995
"GPD2","shared",-1.497,0.0481,"Down",-1.307,0.049,"Down",-1.402
"TSPYL5","shared",-1.53,0.0471,"Down",-1.441,0.0351,"Down",-1.4855
"HMGA2","shared",-1.786,0.0471,"Down",-1.522,0.045,"Down",-1.654
"PLIN2","shared",-1.672,0.0471,"Down",-1.653,0.0234,"Down",-1.6625
"POGLUT3","shared",-1.894,0.0471,"Down",-1.785,0.0234,"Down",-1.8395
"FBXO43","shared",-1.97,0.047,"Down",-1.726,0.0354,"Down",-1.848
"NINJ2-AS1","shared",-1.88,0.0471,"Down",-1.899,0.0234,"Down",-1.8895
"COL9A1","shared",-2.436,0.0231,"Down",-2.643,0.00675,"Down",-2.5395
"GPX7","shared",-3.43,0.00187,"Down",-2.601,0.00523,"Down",-3.0155
