database,mutation,n_total_gene_sets,n_pathways_ever_sig,n_Sign_reversal,pct_Sign_reversal,n_Compensation,pct_Compensation,n_Progressive,pct_Progressive,n_Late_onset,pct_Late_onset,n_Transient,pct_Transient,n_Natural_improvement,pct_Natural_improvement,n_Natural_worsening,pct_Natural_worsening,n_Complex,pct_Complex
hallmark,G32A,50,40,7,17.5,15,37.5,0,0.0,1,2.5,0,0.0,1,2.5,1,2.5,15,37.5
hallmark,R403C,50,40,3,7.5,19,47.5,0,0.0,0,0.0,0,0.0,4,10.0,1,2.5,13,32.5
kegg,G32A,355,132,4,3.03,33,25.0,0,0.0,0,0.0,0,0.0,16,12.12,0,0.0,79,59.85
kegg,R403C,355,132,19,14.39,25,18.94,0,0.0,0,0.0,0,0.0,32,24.24,0,0.0,56,42.42
reactome,G32A,1295,661,19,2.87,196,29.65,0,0.0,26,3.93,0,0.0,105,15.89,1,0.15,314,47.5
reactome,R403C,1295,661,55,8.32,196,29.65,0,0.0,25,3.78,2,0.3,87,13.16,1,0.15,295,44.63
wiki,G32A,706,220,6,2.73,29,13.18,0,0.0,3,1.36,0,0.0,22,10.0,0,0.0,160,72.73
wiki,R403C,706,220,24,10.91,53,24.09,0,0.0,0,0.0,1,0.45,47,21.36,0,0.0,95,43.18
canon,G32A,17,5,0,0.0,0,0.0,0,0.0,1,20.0,0,0.0,1,20.0,0,0.0,3,60.0
canon,R403C,17,5,0,0.0,1,20.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,80.0
cgp,G32A,2985,1454,97,6.67,442,30.4,0,0.0,47,3.23,1,0.07,161,11.07,0,0.0,706,48.56
cgp,R403C,2985,1454,106,7.29,524,36.04,0,0.0,12,0.83,1,0.07,260,17.88,2,0.14,549,37.76
tf,G32A,272,66,3,4.55,9,13.64,0,0.0,0,0.0,0,0.0,17,25.76,0,0.0,37,56.06
tf,R403C,272,66,1,1.52,3,4.55,0,0.0,1,1.52,0,0.0,3,4.55,0,0.0,58,87.88
gobp,G32A,4785,1902,87,4.57,497,26.13,0,0.0,9,0.47,1,0.05,291,15.3,0,0.0,1017,53.47
gobp,R403C,4785,1902,120,6.31,550,28.92,0,0.0,6,0.32,4,0.21,432,22.71,0,0.0,790,41.54
gocc,G32A,627,405,7,1.73,148,36.54,0,0.0,5,1.23,0,0.0,47,11.6,0,0.0,198,48.89
gocc,R403C,627,405,29,7.16,147,36.3,0,0.0,8,1.98,1,0.25,70,17.28,0,0.0,150,37.04
gomf,G32A,1025,334,12,3.59,84,25.15,0,0.0,1,0.3,0,0.0,67,20.06,0,0.0,170,50.9
gomf,R403C,1025,334,24,7.19,80,23.95,0,0.0,12,3.59,2,0.6,60,17.96,0,0.0,156,46.71
MitoCarta,G32A,72,25,0,0.0,9,36.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,16,64.0
MitoCarta,R403C,72,25,3,12.0,5,20.0,0,0.0,8,32.0,0,0.0,2,8.0,0,0.0,7,28.0
SynGO,G32A,32,23,2,8.7,0,0.0,0,0.0,1,4.35,0,0.0,1,4.35,0,0.0,19,82.61
SynGO,R403C,32,23,2,8.7,9,39.13,0,0.0,1,4.35,1,4.35,2,8.7,0,0.0,8,34.78
