compartment,source_database,pathway_id,pathway_name,n_genes,jaccard_with_synaptic,jaccard_with_mito,jaccard_with_cytoplasmic,NES_D35_G32A,padj_D35_G32A,NES_TrajDev_G32A,padj_TrajDev_G32A,NES_D65_G32A,padj_D65_G32A,NES_D35_R403C,padj_D35_R403C,NES_TrajDev_R403C,padj_TrajDev_R403C,NES_D65_R403C,padj_D65_R403C,pattern_G32A,pattern_R403C
Synaptic,SynGO,SynGO::SYNGO:postsyn_ribosome,postsynaptic ribosome,65,1.0,0.0,0.574,2.45817534242279,3.40438886521169e-07,-3.01930378165091,1.8828150118565603e-15,-2.48502109703243,7.15296944216768e-07,2.29162769302504,3.98412474852232e-06,-2.88712095992719,2.50925899685276e-12,-2.58145672878091,9.35750721546656e-09,Sign_reversal,Sign_reversal
Synaptic,SynGO,SynGO::SYNGO:presyn_ribosome,presynaptic ribosome,51,1.0,0.0,0.574,2.33010062177469,8.15976316300135e-06,-2.90209927613196,3.15254028422659e-12,-2.49238759914907,7.15296944216768e-07,2.23316446947385,1.95932092651441e-05,-2.71252353741633,3.630000443732009e-10,-2.47747347246333,1.06409290964336e-06,Sign_reversal,Sign_reversal
Mitochondrial,MitoCarta,MitoCarta::Mitochondrial_central_dogma,Mitochondrial_central_dogma,216,0.0,1.0,0.0,-2.38426797755104,1.82931344702678e-12,2.40551487842377,2.13630593821193e-13,0.714285609443394,0.999289646599183,-1.80172631266755,0.0005116581856646,2.02079237320723,7.99580556811653e-07,1.56009803638643,0.0087196901518174,Compensation,Sign_reversal
Mitochondrial,MitoCarta,MitoCarta::Mitochondrial_central_dogma.Translation,Translation,145,0.0,1.0,0.0,-2.1968750720465,4.99048749620899e-08,2.1845953001715,7.36415058509481e-08,-0.857282986637508,0.999289646599183,-1.64804471763229,0.0128561232898511,1.86947434254709,0.0005072331055247,1.37867077326738,0.147878787878788,Compensation,Sign_reversal
Mitochondrial,gobp,gobp::GOBP_MITOCHONDRIAL_TRANSLATION,GOBP_MITOCHONDRIAL_TRANSLATION,124,0.0,1.0,0.0,-2.23243974718084,3.95766370556595e-07,2.10657350159296,6.62218740937147e-06,-1.08278710346432,1.0,-1.58912004138497,0.0166231949869659,1.89569872507714,0.0003903069444218,1.28445062622085,0.598590204129829,Compensation,Sign_reversal
Mitochondrial,reactome,reactome::REACTOME_MITOCHONDRIAL_TRANSLATION,REACTOME_MITOCHONDRIAL_TRANSLATION,89,0.0,1.0,0.0,-2.05772185076724,5.47471573103406e-05,1.90833133422852,0.0009503490948002,-1.06508171241099,0.746718236198026,-1.37375948260112,0.117966001385294,1.66754883096511,0.0118642709084871,1.22001198028667,0.566224585759699,Compensation,Complex
Mitochondrial,MitoCarta,MitoCarta::Mitochondrial_central_dogma.Translation.Mitochondrial_ribosome,Mitochondrial_ribosome,77,0.0,1.0,0.0,-2.1835650924473,1.55483500048331e-05,1.89322200796298,0.0007979341838455,-1.43145056569805,0.601652892561984,-1.63180235640333,0.033944796845534,1.75016515808853,0.0166862707768002,1.04753992358279,0.674847283249384,Compensation,Compensation
Mitochondrial,gocc,gocc::GOCC_MITOCHONDRIAL_LARGE_RIBOSOMAL_SUBUNIT,GOCC_MITOCHONDRIAL_LARGE_RIBOSOMAL_SUBUNIT,53,0.0,1.0,0.0,-1.88112891594948,0.0027328070875736,1.54070825042192,0.0558355480435059,-1.35747452606371,0.749555620406972,-1.49011642431801,0.0621902819337012,1.48237141230476,0.0725906261001965,0.759536264066689,0.999981460882462,Complex,Natural_improvement
Mitochondrial,gocc,gocc::GOCC_MITOCHONDRIAL_SMALL_RIBOSOMAL_SUBUNIT,GOCC_MITOCHONDRIAL_SMALL_RIBOSOMAL_SUBUNIT,29,0.0,1.0,0.0,-1.82449562027578,0.0122143879075911,1.85708379516772,0.0095304027724808,-0.97898094879349,1.0,-1.47269992175931,0.100266192938725,1.86366075177286,0.0089803529188548,1.26681505155099,0.656074158408278,Compensation,Complex
Mitochondrial,gobp,gobp::GOBP_REGULATION_OF_MITOCHONDRIAL_TRANSLATION,GOBP_REGULATION_OF_MITOCHONDRIAL_TRANSLATION,25,0.0,1.0,0.0,-1.75914672441384,0.0389725388984218,1.95833241059298,0.006939861782899,0.530403234238365,1.0,-1.43641397916046,0.163035734703396,1.86639303865401,0.0171487074188948,1.30837789089329,0.71418895095792,Compensation,Complex
Mitochondrial,MitoCarta,MitoCarta::Mitochondrial_central_dogma.Translation.Mitochondrial_ribosome_assembly,Mitochondrial_ribosome_assembly,24,0.0,1.0,0.0,-1.98750770735091,0.0048346014623487,2.11219120748669,0.0011450117391698,0.84676322397694,0.999289646599183,-1.89122509468268,0.033944796845534,1.8635574676453,0.0266900790166813,1.2872672434351,0.38579836719195,Compensation,Compensation
Mitochondrial,gobp,gobp::GOBP_MITOCHONDRIAL_RIBOSOME_ASSEMBLY,GOBP_MITOCHONDRIAL_RIBOSOME_ASSEMBLY,16,0.0,1.0,0.0,-1.90330994746607,0.0159067019572723,1.72489758152385,0.0604519931522126,-0.764983149418312,1.0,-1.65388540804704,0.0699951866383041,1.57961435057037,0.123615362438144,1.19487605557861,0.817545552214342,Natural_improvement,Complex
Mitochondrial,gobp,gobp::GOBP_POSITIVE_REGULATION_OF_MITOCHONDRIAL_TRANSLATION,GOBP_POSITIVE_REGULATION_OF_MITOCHONDRIAL_TRANSLATION,16,0.0,1.0,0.0,-1.58759073691002,0.129301121930879,1.73109103019439,0.0576681063323714,1.03038601281574,1.0,-1.27488410747088,0.32130602901435,1.70960717650278,0.0654533875640411,1.44142101925923,0.603849100422219,Complex,Complex
Mitochondrial,MitoCarta,MitoCarta::Mitochondrial_central_dogma.Translation.Translation_factors,Translation_factors,15,0.0,1.0,0.0,-0.85119961932039,0.785157972079353,1.3308000296798,0.349308133648329,1.23115507801291,0.808685885436166,0.726055602837143,0.945757772020725,0.610751871241932,0.993521000893655,0.935318731426112,0.79249617151608,Complex,Complex
Mitochondrial,gomf,gomf::GOMF_MITOCHONDRIAL_RIBOSOME_BINDING,GOMF_MITOCHONDRIAL_RIBOSOME_BINDING,10,0.0,1.0,0.0,-1.44555237403762,0.266211490857054,1.57481166057477,0.181780072440766,0.77481089394926,1.0,-1.02030743169596,0.602831766738606,1.21981536096752,0.492135653767834,1.14200100941027,0.813563015633353,Complex,Complex
Cytoplasmic,gobp,gobp::GOBP_REGULATION_OF_TRANSLATION,GOBP_REGULATION_OF_TRANSLATION,325,0.574,0.0,1.0,-1.41565005491918,0.0304344057355188,1.13114521632426,0.377110680870138,-1.15999136001323,0.895386096190017,-1.09064117326398,0.40204219856106,1.11102375202884,0.423242388985697,-0.782786758106766,1.0,Complex,Complex
Cytoplasmic,gobp,gobp::GOBP_RIBOSOME_BIOGENESIS,GOBP_RIBOSOME_BIOGENESIS,287,0.574,0.0,1.0,-2.60073815874921,3.9471150440839e-19,2.25418549877522,5.48319967495414e-12,-1.21574294216703,0.862067374361213,-1.72468742178496,0.000193250856973,1.593128712781,0.003744487209134,0.608308011980076,1.0,Compensation,Compensation
Cytoplasmic,reactome,reactome::REACTOME_TRANSLATION,REACTOME_TRANSLATION,270,0.574,0.0,1.0,-0.971826691347103,0.728168810904881,-1.43770695060933,0.0148374023661278,-1.96441090124782,6.20898224717157e-06,0.634065629640504,0.999971715457503,-1.26034819449526,0.10630700327411,-1.3010054650244,0.242808706113967,Late_onset,Complex
Cytoplasmic,gobp,gobp::GOBP_REGULATION_OF_POST_TRANSLATIONAL_PROTEIN_MODIFICATION,GOBP_REGULATION_OF_POST_TRANSLATIONAL_PROTEIN_MODIFICATION,229,0.574,0.0,1.0,-1.27775611100786,0.163462721191408,0.960528474787584,0.773061886107715,-1.04164290283258,1.0,-1.14282048084344,0.318921350556518,1.05762236091533,0.569729027572666,0.715893537508817,1.0,Complex,Complex
Cytoplasmic,gocc,gocc::GOCC_RIBOSOME,GOCC_RIBOSOME,208,0.574,0.0,1.0,-1.033725314306,0.5355307052353,-1.60775990312041,0.0022497657712564,-2.27425631738492,5.17688789901775e-08,-0.479754430273176,1.0,-1.36846429968681,0.0399379768552313,-1.77242837221141,0.0028140940764576,Late_onset,Late_onset
Cytoplasmic,gocc,gocc::GOCC_RIBOSOMAL_SUBUNIT,GOCC_RIBOSOMAL_SUBUNIT,168,0.574,0.0,1.0,-0.917582876364708,0.802042020517944,-1.76988443551027,0.0005082482019687,-2.27643490483138,2.80034862757144e-07,-0.521822669818882,1.0,-1.45312311740182,0.0262964404653778,-1.76067045082385,0.0101854626389986,Late_onset,Late_onset
Cytoplasmic,gobp,gobp::GOBP_CYTOPLASMIC_TRANSLATION,GOBP_CYTOPLASMIC_TRANSLATION,157,0.574,0.0,1.0,1.20503053078874,0.267289429955072,-2.06610763674837,3.39712568078179e-06,-2.08418818072659,0.0010567442183162,0.980304809321041,0.661957764758931,-1.83522032740912,0.0003273422246692,-1.83806386083433,0.0074466019637029,Late_onset,Late_onset
Cytoplasmic,gomf,gomf::GOMF_STRUCTURAL_CONSTITUENT_OF_RIBOSOME,GOMF_STRUCTURAL_CONSTITUENT_OF_RIBOSOME,144,0.574,0.0,1.0,-0.843477214627484,0.920805970020931,-1.95011867323544,8.11318740941284e-05,-2.4036512356852,4.16366453104855e-08,0.548838535494911,0.999948935301026,-1.66822609927332,0.008417434422552,-1.98318858567668,0.001149966393284,Late_onset,Late_onset
Cytoplasmic,gobp,gobp::GOBP_POSITIVE_REGULATION_OF_POST_TRANSLATIONAL_PROTEIN_MODIFICATION,GOBP_POSITIVE_REGULATION_OF_POST_TRANSLATIONAL_PROTEIN_MODIFICATION,123,0.574,0.0,1.0,-1.36228767497392,0.144761550327075,1.13729164489813,0.441510269611914,-0.788968350481649,1.0,-1.418761784397,0.0713621130172214,1.2583014796641,0.254520713225483,0.656954445693637,1.0,Complex,Natural_improvement
Cytoplasmic,gobp,gobp::GOBP_NEGATIVE_REGULATION_OF_TRANSLATION,GOBP_NEGATIVE_REGULATION_OF_TRANSLATION,122,0.574,0.0,1.0,-0.836975575964877,0.938845385669514,-1.07811146896199,0.533194887905438,-1.31708625941802,0.835075280695573,-0.927154563015325,0.748506308386082,-0.851617416152872,0.929486932099111,-1.26611622884927,0.620347306833315,Complex,Complex
Cytoplasmic,gobp,gobp::GOBP_POSITIVE_REGULATION_OF_TRANSLATION,GOBP_POSITIVE_REGULATION_OF_TRANSLATION,115,0.574,0.0,1.0,-1.49331742541932,0.0606442461625388,1.28202002688794,0.235990861309012,-0.719934851207047,1.0,-0.9694519577323,0.670822309145725,1.15417912222983,0.422121639130227,1.10595494660304,0.837842876027,Natural_improvement,Complex
