"Gene","G32A_logFC","G32A_FDR","G32A_dir","R403C_logFC","R403C_FDR","R403C_dir","Mean_logFC"
"NFIX",4.696,0.0470666540593027,"Up",4.23,0.0244242432538573,"Up",4.463
"MYBPH",4.575,0.0436971117039178,"Up",4.09,0.0244242432538573,"Up",4.3325
"LMO7",3.528,0.0470666540593027,"Up",3.41,0.0294651279193342,"Up",3.469
"P4HA3",3.719,0.00788338972413978,"Up",1.903,0.0490047412455298,"Up",2.811
"PLXND1",3.334,0.00788338972413978,"Up",2.161,0.0353833028207591,"Up",2.7475
"C1QL1",2.61,0.00788338972413978,"Up",2.81,0.000815188317397364,"Up",2.71
"EYS",2.496,0.029476635753311,"Up",2.837,0.00498431359368195,"Up",2.6665
"FBXL8",1.931,0.0470666540593027,"Up",2.202,0.0152336090774816,"Up",2.0665
"DPF3",1.764,0.0494297102870048,"Up",2.301,0.00806906872235604,"Up",2.0325
"DEPP1",1.905,0.0481294694706687,"Up",2.139,0.0234286063858406,"Up",2.022
"TSPO",1.713,0.0375744767709644,"Up",1.969,0.00522917260348216,"Up",1.841
"TAP2_2",1.974,0.0231477356877277,"Up",1.62,0.0353833028207591,"Up",1.797
"GPR155",1.602,0.0494297102870048,"Up",1.859,0.0234286063858406,"Up",1.7305
"PIK3CD",1.45,0.0147532800578526,"Up",1.619,0.00446290989627239,"Up",1.5345
"SFXN3",1.133,0.0231477356877277,"Up",1.172,0.00599210604522653,"Up",1.1525
"GDPD5",1.288,0.0120080363869327,"Up",0.997,0.0294651279193342,"Up",1.1425
"PEA15",0.994,0.0470666540593027,"Up",1.14,0.010819000728586,"Up",1.067
"RAPH1",1.042,0.0252092447624336,"Up",0.819,0.0371597554581906,"Up",0.9305
"IDS",0.843,0.0339560331532716,"Up",0.808,0.0234286063858406,"Up",0.8255
"LARP6",0.912,0.0371977439976119,"Up",0.724,0.0382357811452063,"Up",0.818
"PIK3CB",0.782,0.0470666540593027,"Up",0.824,0.0234286063858406,"Up",0.803
"NCDN",0.726,0.0494297102870048,"Up",0.768,0.0290022834163322,"Up",0.747
"RNF41",0.779,0.0470666540593027,"Up",0.688,0.036566743339043,"Up",0.7335
"AAK1",0.611,0.0494297102870048,"Up",0.581,0.0402124591150898,"Up",0.596
"PIGU",-0.61,0.0481294694706687,"Down",-0.59,0.036566743339043,"Down",-0.6
"ODF2",-0.684,0.0470666540593027,"Down",-0.744,0.02268486727316,"Down",-0.714
"TBL1X",-0.876,0.0434278216086117,"Down",-0.785,0.0334560460189377,"Down",-0.8305
"E2F7",-1.392,0.0494297102870048,"Down",-1.407,0.0334560460189377,"Down",-1.3995
"GPD2",-1.497,0.0481294694706687,"Down",-1.307,0.0490047412455298,"Down",-1.402
"TSPYL5",-1.53,0.0470666540593027,"Down",-1.441,0.0350778322675617,"Down",-1.4855
"HMGA2",-1.786,0.0470666540593027,"Down",-1.522,0.0449553914125255,"Down",-1.654
"PLIN2",-1.672,0.0470666540593027,"Down",-1.653,0.0234286063858406,"Down",-1.6625
"POGLUT3",-1.894,0.0470666540593027,"Down",-1.785,0.0234286063858406,"Down",-1.8395
"FBXO43",-1.97,0.0469785544007881,"Down",-1.726,0.0353833028207591,"Down",-1.848
"NINJ2-AS1",-1.88,0.0470666540593027,"Down",-1.899,0.0234286063858406,"Down",-1.8895
"COL9A1",-2.436,0.0231477356877277,"Down",-2.643,0.00674698481109455,"Down",-2.5395
"GPX7",-3.43,0.00186547046527681,"Down",-2.601,0.00522917260348216,"Down",-3.0155
"EYA2",-4.595,0.0470666540593027,"Down",-3.163,0.0486517160367252,"Down",-3.879
